word,meaning,part_of_speech,examples,meaning_vi,phonetic
dealing,"
+) method or manner of conduct in relation to others
+) the act of transacting within or between groups (as carrying on commercial activities)
+) act on verbally or in some form of artistic expression","v, n","
+) honest dealing
+) no transactions are possible without him
+) he has always been honest is his dealings with me","+) sự chia, sự phân phát
+) sự buôn bán; (số nhiều) sự gia dịch buôn bán
+) thái độ đối xử, cách đối xử, cách xử sự, cách cư xử
+) (số nhiều) quan hệ, sự giao thiệp
+) (số nhiều) sự thông đồng; việc làm ám muội",dealing
architect,"
+) someone who creates plans to be used in making something (such as buildings)",n,"
+) ","+) kiến trúc sư
+) (nghĩa bóng) người làm ra, người xây dựng, người sáng tạo",architect
purchase,"
+) the acquisition of something for payment
+) something acquired by purchase
+) a means of exerting influence or gaining advantage","v, n","
+) they closed the purchase with a handshake
+) he could get no purchase on the situation
+) The family purchased a new car","+) sự mua, sự tậu được; vật mua được, vật tậu được
+) thu hoạch hằng năm, hoa lợi hằng năm, lợi tức hằng năm (của đất đai...)
+) (pháp lý) sự tậu được (chứ không phải do hưởng thừa kế)
+) điểm tựa, chỗ dựa vào, chỗ bám vào
+) lực bẩy, lực đòn bẩy",purchase
receipt,"
+) the act of receiving
+) an acknowledgment (usually tangible) that payment has been made
+) report the receipt of","v, n","
+) The program committee acknowledged the submission of the authors of the paper","+) công thức (làm bánh, nấu món ăn...)
+) đơn thuốc
+) sự nhận được (thơ...)
+) ((thường) số nhiều) (thương nghiệp); (tài chính) sự thu; số thu
+) giấy biên nhận, biên lai (nhận tiền...)",reception
organized,"
+) create (as an entity)
+) cause to be structured or ordered or operating according to some principle or idea
+) plan and direct (a complex undertaking)","v, a, s","
+) social groups form everywhere
+) They formed a company
+) he masterminded the robbery","+) có trật tự, ngăn nắp, hữu hiệu
+) được sắp xếp, chuẩn bị
+) có chân trong nghiệp đoàn (về công nhân)organize /'ɔ:gənaiz/ (organise) /'ɔ:gənaiz/
+) tổ chức, cấu tạo, thiết lập
+) (từ Mỹ,nghĩa Mỹ) lập thành nghiệp đoàn, đưa vào nghiệp đoàn",form
neatly,"
+) with neatness",r,"
+) she put the slippers under the bed neatly","+) gọn gàng, ngăn nắp",neatly
bulk,"
+) the property resulting from being or relating to the greater in number of two parts; the main part
+) the property of something that is great in magnitude
+) the property possessed by a large mass","v, n","
+) the majority of his customers prefer it
+) the bulk of the work is finished
+) it is cheaper to buy it in bulk","+) (hàng hải) trọng tải hàng hoá; hàng hoá
+) phần lớn hơn, số lớn hơn
+) bốc hàng rời (không đóng bao...)
+) bán buôn
+) thành đống, xếp thành đống",majority
unlock,"
+) open the lock of
+) set free or release
+) become unlocked",v,"
+) unlock the door
+) The door unlocked from the inside","+) mở, mở khoá
+) để lộ, tiết lộ",unlock
platform,"
+) a raised horizontal surface
+) a document stating the aims and principles of a political party
+) the combination of a particular computer and a particular operating system",n,"
+) the speaker mounted the platform
+) their candidate simply ignored the party platform
+) they won the election even though they offered no positive program","+) nền, bục, bệ
+) sân ga
+) chỗ đứng ở hai đầu toa (xe lửa...)
+) chỗ đứng (xe khách...)
+) bục giảng, bục diễn thuyết, diễn đàn",platform
linked,"
+) make a logical or causal connection
+) connect, fasten, or put together two or more pieces
+) be or become joined or united or linked","v, s","
+) I cannot connect these two pieces of evidence in my mind
+) colligate these facts
+) I cannot relate these events at all","+) có sự nối liền; có quan hệ dòng dõi
+) có mắt xích, khâu nối
+) cố kết, liên kếtlink /liɳk/
+) đuốc, cây đuốc
+) mắt xích, vòng xích, khâu xích",associate
access,"
+) the right to enter
+) the right to obtain or make use of or take advantage of something (as services or membership)
+) a way of entering or leaving","v, n","
+) he took a wrong turn on the access to the bridge
+) he gained access to the building
+) How does one access the attic in this house?","+) lối vào, cửa vào, đường vào
+) sự đến gần, sự cho vào, sự lui tới; quyền đến gần, quyền lui tới
+) sự dâng lên (nước triều)
+) cơn
+) sự thêm vào, sự tăng lên",entree
thrown,"
+) propel through the air
+) move violently, energetically, or carelessly
+) get rid of","v, s","
+) throw a frisbee
+) She threw herself forwards
+) he shed his image as a pushy boss","+) sự ném, sự vứt, sự quăng, sự liệng
+) khoảng ném xa
+) (thể dục,thể thao) sự vật ngã, sự quăng xuống đất
+) (địa lý,địa chất) xê dịch của phay
+) ném, vứt, quăng, quẳng, liệng, lao",throw
mainly,"
+) for the most part",r,"
+) he is mainly interested in butterflies","+) chính, chủ yếu
+) phần lớn",chiefly
handled,"
+) be in charge of, act on, or dispose of
+) interact in a certain way
+) act on verbally or in some form of artistic expression","v, a","
+) I can deal with this crew of workers
+) This blender can't handle nuts
+) She managed her parents' affairs after they got too old","+) có cán (dùng trong tính từ ghép)handle /'hændl/
+) cán, tay cầm, móc quai
+) (nghĩa bóng) điểm người ta có thể lợi dụng được
+) chức tước, danh hiệu
+) (thông tục) mất bình tĩnh, không tự chủ được nữa, thình lình nổi nóng",manage
initially,"
+) at the beginning",r,"
+) at first he didn't notice anything strange","+) vào lúc đầu, ban đầu",initially
request,"
+) a formal message requesting something that is submitted to an authority
+) the verbal act of requesting
+) express the need or desire for; ask for","v, n","
+) She requested an extra bed in her room
+) She called for room service
+) She asked him to be here at noon","+) lời thỉnh cầu, lời yêu cầu, lời đề nghị
+) (thương nghiệp) nhu cầu, sự hỏi mua
+) thỉnh cầu, yêu cầu, đề nghị",request
extreme,"
+) the furthest or highest degree of something
+) the point located farthest from the middle of something
+) of the greatest possible degree or extent or intensity","n, s","
+) he carried it to extremes
+) extreme cold
+) extreme caution","+) ở tít đằng đầu, ở đằng cùng, xa nhất, ở tột cùng
+) vô cùng, tột bực, cùng cực, cực độ
+) khác nghiệt; quá khích; cực đoan (biện pháp)
+) (tôn giáo) cuối cùng
+) một trường hợp đặc biệt",extreme
intention,"
+) an anticipated outcome that is intended or that guides your planned actions
+) (usually plural) the goal with respect to a marriage proposal
+) an act of intending; a volition that you intend to carry out",n,"
+) his intent was to provide a new translation
+) good intentions are not enough
+) it was created with the conscious aim of answering immediate needs","+) ý định, mục đích
+) (số nhiều) (thông tục) tình ý (muốn hỏi ai làm vợ)
+) (y học) cách liền sẹo
+) (triết học) khái niệm",purpose
printed,"
+) put into print
+) write as if with print; not cursive
+) make into a print",v,"
+) The newspaper published the news of the royal couple's divorce
+) These news should not be printed
+) print the negative",,print
extra,"
+) a minor actor in crowd scenes
+) an additional edition of a newspaper (usually to report a crisis)
+) something additional of the same kind","r, n, s","
+) he always carried extras in case of an emergency
+) trying to lose excess weight
+) found some extra change lying on the dresser","+) thêm, phụ, ngoại
+) thượng hạng, đặc biệt
+) thêm, phụ, ngoại
+) hơn thường lệ, đặc biệt
+) cái phụ, cái thêm; món phải trả thêm",supernumerary
sake,"
+) a reason for wanting something done
+) Japanese alcoholic beverage made from fermented rice; usually served hot
+) the purpose of achieving or obtaining",n,"
+) for your sake
+) died for the sake of his country
+) in the interest of safety","+) mục đích, lợi ích
+) rượu sakê (Nhật)",sake
mix,"
+) a commercially prepared mixture of dry ingredients
+) an event that combines things in a mixture
+) the act of mixing together","v, n","
+) a gradual mixture of cultures
+) paste made by a mix of flour and water
+) the mixing of sound channels in the recording studio","+) trộn, trộn lẫn, pha lẫn, hoà lẫn
+) pha
+) hợp vào, lẫn vào, hoà lẫn vào
+) ((thường) + with) dính dáng, giao thiệp, hợp tác
+) (từ lóng) thụi nhau tới tấp (quyền Anh)",mix
big,"
+) above average in size or number or quantity or magnitude or extent
+) significant
+) very intense","a, r, s","
+) a large city
+) set out for the big city
+) a large sum","+) to, lớn
+) bụng to, có mang, có chửa
+) quan trọng
+) hào hiệp, phóng khoáng, rộng lượng
+) huênh hoang, khoác lác",large
react,"
+) show a response or a reaction to something
+) act against or in opposition to
+) undergo a chemical reaction; react with another substance under certain conditions",v,"
+) She reacts negatively to everything I say
+) The hydrogen and the oxygen react","+) tác động trở lại, ảnh hưởng trở lại, phản ứng lại
+) (vật lý); (hoá học) phản ứng
+) (+ against) chống lại, đối phó lại
+) (quân sự) phản công, đánh trả lại lại
+) (tài chính) sụt, hạ (giá cả)",react
book,"
+) a written work or composition that has been published (printed on pages bound together)
+) physical objects consisting of a number of pages bound together
+) a compilation of the known facts regarding something or someone","n, v","
+) I am reading a good book on economics
+) he used a large book as a doorstop
+) Al Smith used to say, `Let's look at the record'","+) sách
+) (số nhiều) sổ sách kế toán
+) (the book) kinh thánh
+) không được ai ưa
+) được ai yêu mến",book
