word,meaning,part_of_speech,examples,phonetic,meaning_vi
forming,create (as an entity),v,"social groups form everywhere
They formed a company",form,"
+) sự tạo hình; sự định hìnhform /fɔ:m/
+) hình, hình thể, hình dạng, hình dáng
+) (triết học) hình thức, hình thái
+) hình thức (bài văn...), dạng
+) (ngôn ngữ học) hình thái
+) lớp
+) thể thức, nghi thức, thủ tục, lề thói
+) mẫu (đơn...) có chỗ trống (để điền vào)
+) (thể dục,thể thao) tình trạng sức khoẻ
+) sự phấn khởi
+) ghế dài
+) (ngành in) khuôn
+) hang thỏ
+) (điện học) ắc quy
+) (ngành đường sắt) sự ghép, sự thiết lập (đoàn toa xe lửa)
+) làm thành, tạo thành, nặn thành
+) huấn luyện, rèn luyện, đào tạo
+) tổ chức, thiết lập, thành lập
+) phát thành tiếng, phát âm rõ (từ)
+) nghĩ ra, hình thành (ý kiến...)
+) gây, tạo được; nhiễm (thói quen)
+) (ngôn ngữ học) cấu tạo (từ)
+) (quân sự) xếp thành
+) (ngành đường sắt) ghép, thiết lập (đoàn toa xe lửa)
+) thành hình, được tạo thành
+) (quân sự) xếp thành hàng
+) (Tech) dạng, kiểu, mẫu, khuôn
+) dạng // hình thành
+) in matrix f. ở dạng ma trận
+) to bring into canonical f. đưa về dạng chính tắc
+) adjoint f. (hình học) dạng [phó liên hợp]
+) algebraic f. dạng đại số
+) bilinear f. dạng song tuyến
+) binary quadraitic f. dạng toàn phương nhị nguyên
+) biquadratic f. dạng tùng phương
+) dạng chính tắc của phương trình sai phân
+) classical canonical f. dạng chính tắc cổ điển
+) complex f. dạng phức
+) compound quadratic f.s dạng toàn phương phức hợp
+) conjunctive normal f. dạng chuẩn hội
+) cubic f. dạng bậc ba
+) definite f. (đại số) dạng xác định
+) differential f. dạng vi phân
+) disjunctive normal f. dạng chuẩn tuyển
+) exterior f. dạng ngoài
+) first fundamental f. dạng cơ bản thứ nhất
+) Hermitain f. dạng Hecnit
+) indeterminate f. (giải tích) dạng vô định
+) inertia f. dạng quán tính
+) intercept f. of the equation of a straight line phương trình đường thẳng
+) theo đoạn thẳng
+) modular f. dạng môđun
+) multilinear f. dạng đa tuyến tính
+) name f. (logic học) dạng tên
+) nonsingular f. dạng không suy biến
+) norm f. (logic học) dạng chuẩn tắc, pháp dạng
+) one-dimensional fundamental f. dạng cơ bản một chiều
+) polynomial f. dạng đa thức
+) positive definite quadraitic f. dạng toàn phương xác định dương
+) prenex f. dạng tiền lượng, dạng prinec
+) primitive f. dạng nguyên thuỷ
+) principal normal f. (logic học) dạng chuẩn chính
+) quadratic f. (đại số) dạng toàn phương
+) quadratic differential f. dạng vi phân bậc hai
+) quaternary f. dạng tứ nguyên
+) rational f. dạng hữu tỷ
+) rectangular f. of complex number dạng đại số của số phức
+) second fundamental f. dạng cơ bản thứ hai
+) sesquilinear f. (đại số) dạng bán song tuyến tính, dạng nửa song tuyến tính
+) standard f. dạng tiêu chuẩn
+) superposed fundamental f. dạng cơ bản chồng chất
+) ternary bilinear f. dạng song tuyến tính tam nguyên
+) ternary quadratic f. dạng toàn phương tam nguyên
+) ternary quartic f. dạng bậc bốn tam nguyên
+) three-dimensional fundamental f. dạng cơ bản ba chiều
+) trilinear f. dạng tam tuyến tính
+) typical f. dạng dạng điển hình
+) two-dimensional fundamental f. dạng cơ bản hai chiều
+) two-point f. dạng hai điểm
+) wave f. dạng sóng"
follow,"to travel behind, go after, come after",v,"The ducklings followed their mother around the pond
Please follow the guide through the museum",follow,"
+) cú đánh theo (bi-a)
+) nửa suất thêm (ở hàng ăn)
+) đi theo sau
+) theo nghề, làm nghề
+) đi theo một con đường
+) đi theo, đi hầu (ai)
+) theo, theo đuổi
+) nghe kịp, hiểu kịp
+) tiếp theo, kế theo
+) theo dõi (tình hình...)
+) đi theo, đi theo sau
+) sinh ra, xảy đến
+) theo đuổi đến cùng
+) theo miết, bám sát
+) bồi thêm (một cú nữa)
+) như sau
+) (xem) sheep
+) (xem) nose
+) theo ai như hình với bóng, lẽo đẽo theo ai
+) theo sau"
moderate,a person who takes a position in the political center,n,,centrist,"
+) vừa phải; phải chăng, có mức độ; điều độ
+) ôn hoà, không quá khích
+) người ôn hoà
+) làm cho ôn hoà, làm dịu, làm giảm nhẹ, làm bớt đi, tiết chế
+) dịu đi, nhẹ đi, bớt đi"
monitoring,the act of observing something (and sometimes keeping a record of it),n,the monitoring of enemy communications plays an important role in war times,monitoring,"
+) sự định phân
+) sự kiểm tra
+) sự kiểm tra định lượng
+) sự ghi thông báo vô tuyến đị 6 nmonitor /'mɔnitə/
+) trưởng lớp, cán bộ lớp (ở trường học)
+) (hàng hải) tàu chiến nhỏ
+) người chuyên nghe và ghi các buổi phát thanh, hiệu thính viên
+) máy phát hiện phóng xạ
+) (raddiô) bộ kiểm tra
+) (từ cổ,nghĩa cổ) người răn bảo
+) nghe và ghi các buổi phát thanh; nghe để kiểm tra chất lượng (một cuộc thu tiếng)
+) giám sát
+) (máy tính) mônitơ, thiết bị điều khiển"
conventional,following accepted customs and proprieties,a,"conventional wisdom
she had strayed from the path of conventional behavior
conventional forms of address",conventional,"
+) quy ước
+) theo tập quán, theo tục lệ
+) thường
+) (nghệ thuật) theo lối cổ truyền
+) (Tech) quy ước; thông thường
+) có quy ước"
smoker,a person who smokes tobacco,n,,smoker,"
+) người hút thuốc, người nghiện thuốc
+) (như) smoking-car
+) (như) smoking-concert"
pathology,the branch of medical science that studies the causes and nature and effects of diseases,n,,pathology,"
+) bệnh học; bệnh lý
+) (logic học) bệnh lý"
repressive,restrictive of action,s,"a repressive regime
an overly strict and inhibiting discipline",inhibitory,"
+) đàn áp, áp chế, ức chế"
weighted,weight down with a load,v,,burden,"
+) có trọng lượngweight /'weit/
+) trọng lượng, sức nặng
+) cái chặn (giấy...)
+) qu cân
+) qu lắc (đồng hồ)
+) (thưng nghiệp) cân
+) (thể dục,thể thao) hạng (võ sĩ); tạ
+) (y học) sự nặng (đầu); sự đầy, sự nặng (bụng)
+) (kiến trúc); (kỹ thuật) ti trọng, sức nặng
+) (vật lý) trọng lực; trọng lượng riêng
+) (nghĩa bóng) tầm quan trọng, sức thuyết phục; trọng lượng, tác dụng, nh hưởng
+) hết sức, nỗ lực; đm đưng phần việc của mình, chịu phần trách nhiệm của mình
+) buộc thêm vật nặng, làm nặng thêm
+) đè nặng lên, chất nặng ((nghĩa đen) &amp;amp; (nghĩa bóng))
+) (kỹ thuật) xử lý cho chắc thêm (vi)
+) trọng lượng
+) balnce w. đối trọng
+) gross w. trọng lượng cả bì
+) moving w.s cân trượt"
macro,a single computer instruction that results in a series of instructions in machine language,n,,macro,"
+) lớn, khổng lồ (về kích thước, khả năng...)
+) &amp;lt;tin&amp;gt; một lệnh đơn độc, dùng trong chương trình máy tính, thay thế cho một chuỗi các lệnh hoặc phím gõ"
depth,the extent downward or backward or inward,n,"the depth of the water
depth of a shelf
depth of a closet",depth,"
+) chiều sâu, bề sâu, độ sâu; độ dày
+) (từ lóng) sự sâu xa, tính thâm trầm (của tư tưởng...); tầm hiểu biết, năng lực, trình độ
+) chỗ sâu, chỗ thầm kín, đáy, chỗ tận cùng
+) (số nhiều) vực thẳm
+) độ sâu
+) d. of an element độ cao của một phần tử
+) critical d. độ sâu tới hạn
+) hydrraulic mean d. độ sâu thuỷ lực trung bình
+) skin d. (vật lí) độ sâu của lớp ngoài nhất
+) true eritical d. độ sâu tới hạn thực"
combined,have or possess in combination,v,she unites charm with a good business sense,unite,"
+) được tổ hợp, hỗn hợp, hợp phầncombine /'kɔmbain/
+) (thương nghiệp) côngbin,  xanhđica
+) máy liên hợp, máy gặt đập ((cũng) combine harvester)
+) kết hợp, phối hợp
+) (hoá học) hoá hợp
+) (toán học) tổ hợp
+) (Tech) kết hợp
+) tổ hợp lại, kết hợp"
harmonic,a tone that is a component of a complex sound,n,,harmonic,"
+) hài hoà, du dương
+) (toán học) điều hoà
+) (âm nhạc) hoà âm
+) (vật lý) hoạ ba; hoạ âm
+) (toán học) hàm điều hoà
+) điều hoà // hàm điều hoà
+) h. of frequency of oscillation hàm điều hoà tần số dao động
+) cylindrical h. hàm điều hoà trụ
+) ellipsoidal h. hàm điều hoà elipxoit, hàm Lamê
+) soilid h. giá trị. hàm điều hoà cầu
+) spheroidal h. hàm điều hoà phỏng cầu
+) surface h. hàm cầu
+) surface zonal h. hàm cầu đới
+) tessera h. hàm cầu texơrra
+) toroidal h. hàm điều hoà xuyến
+) zonal h. giá trị. hàm cầu đới"
breadth,the capacity to understand a broad range of topics,n,"a teacher must have a breadth of knowledge of the subject
a man distinguished by the largeness and scope of his views",breadth,"
+) bề ngang, bề rộng
+) khổ (vải)
+) sự rông rãi, sự phóng khoáng (quan điểm, tư tưởng...)
+) đúng, chính xác
+) chiều rộng"
extensive,large in spatial extent or range or scope or quantity,s,"an extensive Roman settlement in northwest England
extended farm lands
surgeons with extended experience",extensive,"
+) rộng, rộng rãi, bao quát
+) quảng canh
+) rộng rãi"
turned,"change orientation or direction, also in the abstract sense",v,"Turn towards me
The mugger turned and fled before I could see his face
She turned from herself and learned to listen to others' needs",turn,"
+) được tiện
+) mài gọt láng bóng
+) (a man turned fifty) một người quá năm mươi
+) (ngành in) đảo ngược
+) (turned out) ăn diện đẹp
+) (well turned sentence) câu diễn đạt khéoturn /tə:n/
+) sự quay; vòng quay
+) vòng cuộn, vòng xoắn (dây thép...)
+) sự đổi hướng, sự rẽ; chỗ ngoặt, chỗ rẽ
+) chiều hướng, sự diễn biến
+) sự thay đổi
+) khuynh hướng, thiên hướng, năng khiếu
+) tâm tính, tính khí
+) lần, lượt, phiên
+) thời gian hoạt động ngắn; chầu
+) dự kiến, ý định, mục đích
+) hành vi, hành động, cách đối đãi
+) tiết mục
+) (số nhiều) sự thấy kinh (của đàn bà)
+) (ngành in) chữ sắp ngược (để thế tạm chỗ chữ thiếu)
+) (thông tục) sự xúc động; cú, vố
+) khắp nơi, mọi chỗ; mọi lúc, luôn luôn
+) lần lượt
+) hàng tuần nay nó chẳng mó đến việc gì
+) bánh vừa chín tới
+) chỉ nhoáng một cái, chóng như trở bàn tay
+) có thể chạy rất nhanh
+) (tục ngữ) ở hiền gặp lành, làm ơn lại được trả ơn
+) lộn xộn, không theo trật tự lần lượt
+) nói nhiều, nói thừa; nói lung tung
+) theo thứ tự lần lượt
+) quay, xoay, vặn
+) lộn
+) lật, trở, dở
+) quay về, hướng về, ngoảnh về
+) quành, đi quanh, đi vòng rẽ, ngoặt
+) quá (một tuổi nào đó)
+) tránh; gạt
+) dịch; đổi, biến, chuyển
+) làm cho
+) làm chua (sữa...)
+) làm khó chịu, làm buồn nôn
+) làm say sưa; làm hoa lên; làm điên cuồng
+) tiện
+) sắp xếp, sắp đặt
+) quay, xoay, xoay tròn
+) lật
+) quay về, đi về, ngoặt, rẽ, đổi chiều, đổi hướng
+) trở nên, trở thành, đổi thành, biến thành
+) trở, thành chua
+) buồn nôn, buồn mửa, lợm giọng
+) quay cuồng, hoa lên (đầu óc)
+) có thể tiện được
+) quay vòng, xoay vòng
+) xoay sang hướng khác; làm cho xoay sang hướng khác
+) chống lại, trở nên thù địch với; làm cho chống lại
+) đuổi ra, thải (người làm...)
+) bỏ đi
+) ngoảnh (mặt) đi, quay đi, đưa (mắt) ra chỗ khác
+) làm cho quay lại lui trở lại, quay trở lại (người)
+) lật (cổ áo...)
+) gấp (trang sách); gập xuống; bẻ (cổ áo); lui (bấc đèn); lập úp (chụp đèn...)
+) (thông tục) gạt bỏ, bác bỏ (lời đề nghị...)
+) đánh hỏng (một thí sinh)
+) gấp vào (mép bìa...); gập lại, thu lại
+) xoay vào
+) trả lại, nộp lại
+) (thông tục) đi ngủ
+) trở thành, đổi thành
+) khoá, tắt, cắt (đèn,  rađiô, điện, nước...)
+) đuổi ra, thải (người làm)
+) (từ lóng) cho cưới
+) (từ lóng) treo cổ (người có tội...)
+) ngoặt, rẽ đi hướng khác
+) bật, vặn, mở (đèn,  rađiô, điện, nước...)
+) tuỳ thuộc vào
+) chống lại, trở thành thù địch với
+) đuổi ra, thải (người làm)
+) sản xuất ra (hàng hoá)
+) dốc ra (túi)
+) đưa ra đồng (trâu, bò...)
+) gọi ra
+) xoay ra
+) (quân sự) tập hợp (để nhận công tác)
+) (thể dục,thể thao) chơi cho
+) (thông tục) ngủ dậy, trở dậy
+) đình công
+) hoá ra, thành ra
+) lật, dở
+) giao, chuyển giao
+) doanh thu, mua ra bán vào
+) đắn đo, cân nhắc, lật đi lật lại (một vấn đề)
+) lật lên; xắn, vén (tay áo...)
+) xới (đất...)
+) (thông tục) làm lộn mửa, làm buồn nôn
+) lật, lật ngược, hếch lên
+) xảy ra, đến, xuất hiện
+) (như) to turn on
+) làm cùn lưỡi dao
+) làm cho lời phê bình đỡ gay gắt; nhẹ lời đi
+) (xem) account
+) làm lệch cán cân
+) (nghĩa bóng) quyết định cách giải quyết vấn đề
+) chống lại được đạn, đạn bắn không thủng
+) (xem) waterworks
+) (xem) nose
+) (xem) toe
+) quay, mở, vặn; trở thành t. about lật (quay 180
+) 0 ); t. of đóng, ngắt; t."
misleading,lead someone in the wrong direction or give someone wrong directions,v,The pedestrian misdirected the out-of-town driver,mislead,"
+) làm cho lạc đường, làm cho lạc lối
+) làm cho mê muội, làm cho lầm đường lạc lối
+) lừa dốimislead /mis'li:d/ (misled) /mis'led/
+) làm cho lạc đường, làm cho lạc lối
+) làm cho mê muội, làm cho lầm đường lạc lối
+) lừa dối"
correspondence,communication by the exchange of letters,n,,correspondence,"
+) sự xứng nhau, sự tương ứng; sự phù hợp
+) thư từ; quan hệ thư từ
+) (Tech) phép tương ứng; thư tín
+) [phép, sự] tương ứng
+) algebraic c. tương ứng đại số
+) birational c. tương ứng song hữu tỷ
+) boundary c. tương ứng ở biên
+) direct c. tương ứng trực tiếp
+) dualistic c. tương ứng đối ngẫu
+) homographic c. tương ứng phân tuyến
+) incidence c. đs; (hình học) tương ứng liên thuộc
+) irreducible c. tương ứng không khả quy
+) isometric c tương ứng đẳng cự
+) many-one c. tương ứng một đối nhiều
+) non-singular c. tương ứng không kỳ dị
+) one-to-one c. tương ứng một đối một
+) point c. tương ứng điểm
+) projective c. tương ứng xạ ảnh
+) recprocal c. tương ứng thuận nghịch
+) reducible c. tương ứng khả quy
+) singular c. tương ứng kỳ dị
+) symmetric c. tương ứng đối xứng"
